title,company,location,posted,link
UI/UX Designer,NewArtX,"Mumbai, Maharashtra, India",20 hours ago,https://in.linkedin.com/jobs/view/ui-ux-designer-at-newartx-4288552046?position=1&pageNum=0&refId=mp22rPRk7E%2B%2FmnyUkOle1g%3D%3D&trackingId=BgbS2st1KkjGrCay65z4eQ%3D%3D
UI/UX Designer,OneBanc,"Gurugram, Haryana, India",23 hours ago,https://in.linkedin.com/jobs/view/ui-ux-designer-at-onebanc-4309476574?position=2&pageNum=0&refId=mp22rPRk7E%2B%2FmnyUkOle1g%3D%3D&trackingId=tEodGyGOt%2F3CVKRUkqFwDA%3D%3D
User Experience Designer,CloudRedux,"Pune, Maharashtra, India",18 hours ago,https://in.linkedin.com/jobs/view/user-experience-designer-at-cloudredux-4308733907?position=3&pageNum=0&refId=mp22rPRk7E%2B%2FmnyUkOle1g%3D%3D&trackingId=2nowSbWn9p41vjXT4GOCQA%3D%3D
UI UX Designer,Kormoan Pvt Ltd,"New Delhi, Delhi, India",22 hours ago,https://in.linkedin.com/jobs/view/ui-ux-designer-at-kormoan-pvt-ltd-4309478640?position=4&pageNum=0&refId=mp22rPRk7E%2B%2FmnyUkOle1g%3D%3D&trackingId=%2FcK64GWCwddfc26lHMdLjg%3D%3D
UI UX and Graphics Designer,Sunrise Technologies,"Chennai, Tamil Nadu, India",23 hours ago,https://in.linkedin.com/jobs/view/ui-ux-and-graphics-designer-at-sunrise-technologies-4309447068?position=5&pageNum=0&refId=mp22rPRk7E%2B%2FmnyUkOle1g%3D%3D&trackingId=ODAOISnYR8pTOepzzdZ%2BBg%3D%3D
